prices,adresses,sqm,city
Totalpris: 2 916 983 ,"LANGARINDEN 253, Nyborg",140 ,Bergen
Totalpris: 3 381 140 ,"KRÅVASSLIA 149, Flaktveit",117 ,Bergen
Totalpris: 4 007 990 ,"Sundby-Hvorups vei 55B, Loddefjord",57 ,Bergen
Totalpris: 7 165 750 ,"Våkleivbakken 141, Bønes",77 ,Bergen
Totalpris: 4 618 390 ,"Plytten 24, Ytre Arna",103 ,Bergen
Totalpris: 3 075 650 ,"Kalfarveien 20D, Bergen",148 ,Bergen
Totalpris: 7 025 229 - 9 599 300 ,"Gamle Kirkevegen 7, Nesttun",267 ,Bergen
Totalpris: 7 177 400 ,"Inger Bang Lunds vei 9, Bergen",39 ,Bergen
Totalpris: 2 232 018 ,"Sofus Madsens vei 9 A, Bergen",115 - 164 ,Bergen
Eier (Selveier) ∙ Enebolig ∙ 5 soverom,"Torvmyra 24, Mathopen",83 ,Bergen
Totalpris: 8 630 740 ,"Øvre Kråkenes 18, Bønes",42 ,Bergen
Totalpris: 10 056 500 ,"Hopsnesvegen 34D, Paradis",227 ,Bergen
Totalpris: 3 601 345 ,"Frydenbølien 29, Bergen",166 ,Bergen
Totalpris: 5 228 150 ,"Sælenveien 55C, Fyllingsdalen",85 ,Bergen
Totalpris: 4 279 897 ,"Strandgaten 210, Bergen",195 ,Bergen
Totalpris: 3 922 992 ,"Bjørndalsskogen 4, Bjørndalstræ",67 ,Bergen
Totalpris: 7 165 526 ,"Grunnane 158, Søreidgrend",111 ,Bergen
Totalpris: 2 409 848 ,"Ørnahaugen 33, Fyllingsdalen",157 ,Bergen
Fellesutg.: 5 936 ,"Bjørndalsbrotet 184, Bjørndalstræ",77 ,Bergen
Totalpris: 6 755 750 ,"Siljustølvegen 94, Rådal",121 ,Bergen
Totalpris: 5 934 750 ,"Grøvlesvingen 55A, Hordvik",125 ,Bergen
Eier (Selveier) ∙ Enebolig ∙ 5 soverom,"Torvmyra 7, Mathopen",158 ,Bergen
Totalpris: 7 327 420 - 7 927 420 ,"Åmundssvingen 22, Ulset",148 ,Bergen
Totalpris: 12 988 670 ,"Sørehavnveien 45, Godvik",258 ,Bergen
Totalpris: 4 355 720 ,"Mårdalen 53, Rådal",84 ,Bergen
Totalpris: 3 115 003 - 11 892 956 ,"Nyhavn 4, Bergen",37 - 116 ,Bergen
Totalpris: 3 896 390 ,"Lars Hilles gate 29, Bergen",40 ,Bergen
Totalpris: 10 572 881 ,"Møllendalsveien 62D, Bergen",124 ,Bergen
Totalpris: 2 983 054 ,"Dag Hammarskjölds vei 171, Fyllingsdalen",71 ,Bergen
Totalpris: 3 587 868 ,"Absalon Beyers gate 35, Bergen",65 ,Bergen
Totalpris: 9 336 762 ,"Møllendalsveien 64, Bergen",87 ,Bergen
Totalpris: 6 973 670 ,"Helgeplasset 7F, Fyllingsdalen",105 ,Bergen
Totalpris: 5 023 740 ,"Inger Bang Lunds vei 9, Bergen",62 ,Bergen
Totalpris: 16 747 257 ,"Sandviksboder 78, Bergen",110 ,Bergen
Totalpris: 5 110 712 - 11 610 712 ,"Nordre Gommershaugen 9, Sandsli",53 ,Bergen
Totalpris: 4 203 500 ,"Granveien 5A, Bergen",135 ,Bergen
Totalpris: 5 894 750 ,"Bjøllebotn 89, Nesttun",72 - 140 ,Bergen
Totalpris: 7 134 650 ,"Sandsliåsen 57J, Sandsli",108 ,Bergen
Totalpris: 6 016 750 ,"Kråkenesdalen 113, Bønes",184 ,Bergen
Totalpris: 8 629 140 ,"Wernersholmvegen 8, Paradis",82 ,Bergen
Totalpris: 4 629 400 ,"Stokkedalslien 11, Bønes",159 ,Bergen
Totalpris: 4 091 750 ,"Kjenndalstoppen 20, Nesttun",207 ,Bergen
Totalpris: 3 998 102 ,"Nattlandsveien 11, Bergen",90 ,Bergen
Totalpris: 2 573 047 ,"Frydenbølien 6, Bergen",120 ,Bergen
Totalpris: 5 546 290 ,"Grimstadvegen 408, Søreidgrend",49 ,Bergen
Totalpris: 16 196 000 ,"Hjellestadnipen 12, Hjellestad",62 ,Bergen
Totalpris: 3 083 400 ,"Lille Damsgårdsveien 35B, Laksevåg",135 ,Bergen
Totalpris: 5 032 750 ,"Krokeidevegen 196, Fana",511 ,Bergen
Totalpris: 6 256 690 ,"Torvmyra 87, Mathopen",138 ,Bergen
Totalpris: 9 937 212 ,"Møllendalsveien 64, Bergen",153 ,Bergen
Totalpris: 6 697 833 ,"Sandviksveien 114, Bergen",145 ,Bergen
Eier (Selveier) ∙ Enebolig ∙ 4 soverom,"Søvikdalen, Søreidgrend",89 ,Bergen
Totalpris: 2 783 025 ,"Storhammeren 31, Fyllingsdalen",72 ,Bergen
Totalpris: 2 715 708 ,"Bøhmergaten 40, Bergen",84 ,Bergen
Totalpris: 4 090 750 ,"Nattlandsåsen 12A, Paradis",27 ,Bergen
Totalpris: 3 066 881 ,"Loddefjordveien 14, Loddefjord",139 ,Bergen
Totalpris: 5 751 500 ,"Lønborglien 305, Bergen",75 ,Bergen
Totalpris: 2 751 000 ,"Gerhard Gransvei 33 N, Bergen",92 ,Bergen
Totalpris: 2 110 254 ,"Fabrikkgaten 26, Bergen",76 ,Bergen
Eier (Selveier) ∙ Leilighet ∙ 4 soverom,"Løbergsalleen 18, Bergen",29 ,Bergen
Totalpris: 9 598 190 ,"Åstveitveien 43, Øvre Ervik",148 ,Bergen
Totalpris: 4 100 650 ,"Nordåsdalen 45, Rådal",75 ,Bergen
