trans_id,lang,translation
"Kiillekatu",fi,"Kiillekatu"
"Malminkartanon as.",sv,"Malmgård station"
"Myllärintie",sv,"Mjölnarvägen"
"Karviaistie",sv,"Stickelvägen"
"Länsiterminaali",fi,"Länsiterminaali"
"Viikinm. puhdistamo",fi,"Viikinm. puhdistamo"
"Lastutie",fi,"Lastutie"
"Ripusuontie",sv,"Ripukärrsvägen"
"Hiekkajaalanpolku",sv,"Sandskutsstigen"
"Hellapolku",sv,"Spisstigen"
"Ensi linja",fi,"Ensi linja"
"Margareetankuja",fi,"Margareetankuja"
"Vattuniemenkatu 2",sv,"Hallonnäsgatan 2"
"Rautatientori - Puotila - Mellunmäki - Kontula(Kotikonnunt.)",sv,"Järnv.torget - Botby gård - Mellungsb. - Gårdsb.(Hemgårdsv.)"
"Kiviruukinportti",fi,"Kiviruukinportti"
"Pukinmäen aukio",fi,"Pukinmäen aukio"
"Tarkk ampujankatu 2",sv,"Skarpskyttegatan 2"
"Ravals",fi,"Ravals"
"Munkkin. uimaranta",sv,"Munksnäs badstrand"
"Vanhankartanontie",sv,"Gammelgårdsvägen"
"Jätkäsaari - Ruoholahti (M) - Töölö - Ruusulankatu",sv,"Busholmen - Gräsviken (M) - Tölö - Rosavillagatan"
"Pikkalantie",fi,"Pikkalantie"
"Kauniaistentie 11",fi,"Kauniaistentie 11"
"Laivanrakentajantie",sv,"Skeppsbyggarvägen"
"Punavuori-Ruoholahti(M)-Salmisaari-Lauttasaari(M)-Katajah.",fi,"Punavuori-Ruoholahti(M)-Salmisaari-Lauttasaari(M)-Katajah."
"Satama",sv," Hamnen"
"Oulunkylän sairaala",fi,"Oulunkylän sairaala"
"Sirkkalankuja",fi,"Sirkkalankuja"
"Brusas th.",sv,"Brusas th."
"Kamppi-Meilahti-Laajalahti-Suvela-Espoon keskus",fi,"Kamppi-Meilahti-Laajalahti-Suvela-Espoon keskus"
"Helsinki-Lahti",sv,"Helsingfors-Lahtis"
"Turunväylä-Tuomarila",sv,"Åboleden-Domsby"
"Lounapolku",fi,"Lounapolku"
"Damsinrinne",fi,"Damsinrinne"
"Ruosilantie",sv,"Rosasvägen"
"Puosunrinne",sv,"Båtsmansbrinken"
"Kivistö as. / Ruotsinkylä - Hyrylä - Kerava as.",fi,"Kivistö as. / Ruotsinkylä - Hyrylä - Kerava as."
"Pohjantähdentie",sv,"Polstjärnevägen"
"Jätkäsaari-Koskela",fi,"Jätkäsaari-Koskela"
"Pihlajiston ostosk.",sv,"Rönninge köpcentrum"
"Kivikon hiihtohalli",sv,"Stensböle skidhall"
"Peltovuorenkuja",sv,"Åkerbergsgränden"
"Jollaksentie 69",fi,"Jollaksentie 69"
"Opintie",fi,"Opintie"
"Siikajärventie",sv,"Siikajärvivägen"
"Länsisalmi-Sotungin koulu",sv,"Västersundom-Sotungin koulu"
"Vaakkola",sv,"Vaakkola"
"Kunnarlantie 31",fi,"Kunnarlantie 31"
"Nikkilä - Savijärvi",sv,"Nickby - Savijärvi"
"Ludviginkatu",sv,"Ludvigsgatan"
"Kurtinmäentie",sv,"Kurtbacksvägen"
"Pasilan asema",fi,"Pasilan asema"
"Hösmärinmäki",sv,"Hösmärbacken"
"Kauniainen",sv," Grankulla"
"Seurasaarentie 3",fi,"Seurasaarentie 3"
"Ulvilantie 15",fi,"Ulvilantie 15"
"Koivupuistonkuja",sv,"Björkparksgränden"
"Brusaksentie",sv,"Brusasvägen"
"Karantie",fi,"Karantie"
