price,address,area,latLong.longitude,latLong.latitude,country,price_per_sqm
455000.0,"3017 SE Salmon St, Portland, OR 97214",222.9672,-122.63427,45.514492,USA,2040.65889512
568750.0,"7204 SW 33rd Ave, Portland, OR 97219",234.951687,-122.71002,45.472404,USA,2420.7104331198097
377650.0,"11325 SW 47th Ave, Portland, OR 97219",72.278534,-122.72536,45.44355,USA,5224.926117068175
454909.0,"7428 SE 66th Ave, Portland, OR 97206",166.29637,-122.59491,45.46924,USA,2735.531749730917
581490.0,"1732 SE 55th Ave, Portland, OR 97215",191.937598,-122.60629,45.51012,USA,3029.5783945363323
113295.0,"3445 NE Marine Dr, Portland, OR 97211",36.325073,-122.63084,45.600533,USA,3118.9200913649915
334330.0,"4910 N Vancouver Ave, Portland, OR 97217",243.034248,-122.66792,45.558495,Canada,1375.6497397025296
796250.0,"665 SW Viewmont Dr, Portland, OR 97225",238.574904,-122.75,45.513695,USA,3337.526230336448
409500.0,"7204 N Albina Ave, Portland, OR 97217",139.447403,-122.67456,45.57526,USA,2936.591081585076
1069250.0,"2342 NW Pinnacle Dr, Portland, OR 97229",338.631435,-122.76978,45.539593,USA,3157.5627348358844
268359.0,"8365 N Swenson St, Portland, OR",,-122.74738,45.599346,USA,
364000.0,"6925 N Fiske Ave, Portland, OR 97203",111.111988,-122.721985,45.57587,USA,3275.97414601204
636090.0,"25 NE 47th Ave, Portland, OR 97213",320.701156,-122.615295,45.523384,USA,1983.435320077237
399490.0,"9335 N Leonard St, Portland, OR 97203",106.095226,-122.75719,45.595093,USA,3765.3909140077612
386750.0,"8334 N Fessenden St, Portland, OR 97203",140.562239,-122.748795,45.596478,USA,2751.4501956674153
690690.0,"3128 SE 51st Ave, Portland, OR 97206",214.698833,-122.60981,45.49974,USA,3217.0179518395425
534170.0,"3542 NE 68th Ave, Portland, OR 97213",193.888561,-122.592964,45.54886,USA,2755.036177714476
750749.0900000001,"1464 SW Davenport St, Portland, OR 97201",268.48967,-122.694855,45.506584,USA,2796.1935742257797
404950.0,"3629 SE 67th Ave, Portland, OR 97206",103.865554,-122.59455,45.4959,USA,3898.7901609806077
573209.0,"5221 SW Dosch Rd, Portland, OR 97239",202.900152,-122.71017,45.484947,USA,2825.0792044749182
500500.0,"9914 SW Quail Post Rd, Portland, OR 97219",166.389273,-122.704735,45.4531,USA,3008.006411567169
708890.0,"5525 SW Florida St, Portland, OR 97219",222.131073,-122.73402,45.475594,USA,3191.313986044627
591500.0,"310 SE 76th Ave, Portland, OR 97215",287.720591,-122.58438,45.520058,USA,2055.813933734065
400309.0,"5005 SE 109th Ave, Portland, OR 97266",188.59309,-122.55157,45.485683,USA,2122.6069311447204
317590.0,"4006 NE Prescott St #B, Portland, OR 97211",55.184382,-122.622215,45.55527,USA,5755.070338560646
345709.0,"6040 SE Harney St, Portland, OR 97206",114.828108,-122.60104,45.462517,USA,3010.665298081895
3276000.0,"11350 S Riverwood Rd, Portland, OR 97219",590.4914679999999,-122.651794,45.443565,USA,5547.920973516929
564109.0,"5723 SE Washington St, Portland, OR 97215",179.024081,-122.60467,45.518734,USA,3151.023017959243
102375.0,"11210 N Jantzen Dr #735, Portland, OR 97217",74.3224,-122.6797,45.608185,USA,1377.4447542059997
364000.0,"5360 SE 96th Ave, Portland, OR 97266",213.6769,-122.564476,45.483585,USA,1703.5065559262607
272090.0,"1320 SW Hall St APT 204, Portland, OR 97201",91.137843,-122.69077,45.51219,USA,2985.4777230134796
750750.0,"1531 SW Montgomery St, Portland, OR 97201",320.143738,-122.69171,45.514404,USA,2345.0404018210097
545090.0,"4303 SE 30th Ave, Portland, OR 97202",196.304039,-122.63488,45.491924,USA,2776.764058328927
3822000.0,"8718 NW Terraceview Ct, Portland, OR 97229",513.660687,-122.76629,45.537647,USA,7440.709590453824
1478659.0,"7035 NW Penridge Rd, Portland, OR 97229",225.661387,-122.749535,45.525574,USA,6552.556552353372
318500.0,"1028 NE 104th Ave, Portland, OR 97220",103.12233,-122.55505,45.53025,USA,3088.564814235675
887250.0,"12711 SW 60th Ct, Portland, OR 97219",286.977367,-122.73893,45.43407,USA,3091.707228605244
253890.0,"9224 SE Boise St, Portland, OR 97266",143.99965,-122.567795,45.491528,USA,1763.1292853836796
323050.0,"8526 NE Hassalo St, Portland, OR 97220",66.89016,-122.57497,45.53072,USA,4829.5593851173335
609700.0,"1916 NE 12th Ave, Portland, OR 97212",197.140166,-122.653305,45.536774,USA,3092.7233773354947
523250.0,"5601 SE Harold St, Portland, OR 97206",127.091304,-122.60594,45.483288,USA,4117.118823487719
454090.0,"5844 SW Boundary St, Portland, OR 97221",124.861632,-122.737495,45.485477,USA,3636.7456738031424
546000.0,"2630 N Hayden Island Dr SLIP 20, Portland, OR 97217",200.67048,-122.69721,45.61478,USA,2720.8785268266665
727090.0,"418 S Texas St, Portland, OR 97219",236.159426,-122.67453,45.473476,USA,3078.8099899937934
177450.0,"535 NE Bridgeton Rd, Portland, OR",,-122.659904,45.601925,USA,
545954.5,"4607 SE 53rd Ave, Portland, OR 97206",125.604856,-122.608055,45.489506,USA,4346.6034466056
700700.0,"1114 NE Cesar E Chavez Blvd, Portland, OR 97232",255.111638,-122.62265,45.531097,USA,2746.640668741267
681590.0,"949 NW Overton St UNIT 1412, Portland, OR 97209",142.14159,-122.68101,45.53268,USA,4795.148274336878
409500.0,"25000 NW Saint Helens Rd #8, Portland, OR 97231",205.12982399999999,-122.78332,45.60052,USA,1996.2967452260868
599690.0,"3219 NE Rosa Parks Way, Portland, OR 97211",189.893732,-122.632355,45.570187,USA,3158.0294603931425
454090.0,"7904 SW 14th Ave, Portland, OR 97219",216.371087,-122.69282,45.46754,USA,2098.663025157331
677859.0,"7205 SE 21st Ave, Portland, OR 97202",225.847193,-122.64387,45.47276,USA,3001.4054679882606
1127490.0,"4481 SW Fairview Circus, Portland, OR 97221",337.702405,-122.72283,45.516415,USA,3338.708825600457
423150.0,"14639 SE Rhine St, Portland, OR 97236",155.984137,-122.51222,45.497646,USA,2712.775851046956
85085.0,"12452 N Westshore Dr, Portland, OR 97217",124.861632,-122.69187,45.614323,USA,681.4343096204285
363995.45,"4907 SW 1st Ave, Portland, OR 97239",132.293872,-122.67905,45.488075,USA,2751.4158025399697
386750.0,"2734 SW 2nd Ave, Portland, OR 97201",146.879643,-122.67958,45.503162,USA,2633.108251767742
773500.0,"15050 NW Vance Dr, Portland, OR 97229",249.90906999999999,-122.8316,45.560604,USA,3095.125759141115
564200.0,"3629 SW Caldew St, Portland, OR 97219",137.775149,-122.71468,45.471916,USA,4095.078133430289
432250.0,"5263 SE 74th Ave, Portland, OR 97206",134.616447,-122.586784,45.48476,USA,3210.9746589879915
