from_stop_id,from_trip_id,to_stop_id,to_trip_id,transfer_type
NSR:Quay:6814,RUT:ServiceJourney:bde2fd15ca061ab7026bc3cd6d0d128d,NSR:Quay:6816,RUT:ServiceJourney:26dcf4ed96271d73fdf8ecb72b852bd6,1
NSR:Quay:6813,RUT:ServiceJourney:3041962e084f898288d474f769055b2e,NSR:Quay:6816,RUT:ServiceJourney:e3b7fd2dba91c5e53521df99e665a19d,1
NSR:Quay:6816,RUT:ServiceJourney:e87122274a3de993ef4d71c97413ec52,NSR:Quay:6812,RUT:ServiceJourney:813cd12343a629ffd08678d033818f58,1
NSR:Quay:6812,RUT:ServiceJourney:e3db6299d113202921ecf149edda635c,NSR:Quay:6812,RUT:ServiceJourney:f7879a17e3839b90a472f12d8ac0b3e5,1
NSR:Quay:6817,RUT:ServiceJourney:b158dcc46fc59128d28d1658ecd1bd86,NSR:Quay:6814,RUT:ServiceJourney:cde02b45ad2c536a0158e0a115909911,1
NSR:Quay:6814,RUT:ServiceJourney:b31050f71d31e40dbd962bdcf0faa219,NSR:Quay:6816,RUT:ServiceJourney:8ba8ee9c8a6b20b77a24aed7a2c90e5f,1
NSR:Quay:5652,RUT:ServiceJourney:733444b127294b74f2a85f78a805801a,NSR:Quay:5653,RUT:ServiceJourney:1573bdd7f097c7cd731a4bd59ee7ef56,1
NSR:Quay:6816,RUT:ServiceJourney:bbddd07e265159bb6b75f8d5b8169ab7,NSR:Quay:6813,RUT:ServiceJourney:c39cd3c8d8e75b1b3cc6358d61cff3d4,1
NSR:Quay:7787,RUT:ServiceJourney:bda3bb4ccd7810de2bc43edb57bf7bc3,NSR:Quay:7786,RUT:ServiceJourney:7276efa95e3289867f3c35219f439f3b,1
NSR:Quay:10102,RUT:ServiceJourney:547fdf78904a83e99092bd3631b762d6,NSR:Quay:10100,RUT:ServiceJourney:ee11f5f321680b2ef795d31a007d46ea,1
NSR:Quay:7786,RUT:ServiceJourney:9d9535b310140bac1f9acca185ee5760,NSR:Quay:7786,RUT:ServiceJourney:af9f9395e811fe18eb3405a316c1ed05,1
NSR:Quay:6816,RUT:ServiceJourney:9d414f887c90482f4c572a6c4cd4138d,NSR:Quay:6813,RUT:ServiceJourney:4e0b841aba985f56cb71b7c0bb28c494,1
NSR:Quay:10097,RUT:ServiceJourney:c7dfbfd5b3b043fce5b488625be7ca76,NSR:Quay:10102,RUT:ServiceJourney:17bd21512f2f39b6c365dbfb1cacd9f4,1
NSR:Quay:6817,RUT:ServiceJourney:2bf88ec7a024d75e7f8e0ce7678a929a,NSR:Quay:6812,RUT:ServiceJourney:94c593e02d7b56217546bccc7a1fdbba,1
NSR:Quay:5651,RUT:ServiceJourney:edcccf2fc0dab0aa4fb9d92245354ada,NSR:Quay:5653,RUT:ServiceJourney:e6ca7c5cbf983f2e19a7507fbb617cab,1
NSR:Quay:7787,RUT:ServiceJourney:7ac87c3f7481320c0bde23f458da2b4c,NSR:Quay:7786,RUT:ServiceJourney:ee4a60d63039c153a0cd4d51b7a09262,1
NSR:Quay:10098,RUT:ServiceJourney:22cdd86ff880cdec0d12b175ea83ce0c,NSR:Quay:10100,RUT:ServiceJourney:65a7167bd5d595ce4fdcb2066f16a440,1
NSR:Quay:10102,RUT:ServiceJourney:6d0cca32b9b1ffd85d421ca06d80ecfd,NSR:Quay:10100,RUT:ServiceJourney:07b59780dd9d0dbfb6387ef38738f8a4,1
NSR:Quay:6812,RUT:ServiceJourney:99274d94669d9cbd7e78fa937edbc03c,NSR:Quay:6814,RUT:ServiceJourney:65d2566adc3dfdb45250740eb3c7c412,1
NSR:Quay:12580,RUT:ServiceJourney:abd21d339b356995c4adaeaf23e80020,NSR:Quay:12581,RUT:ServiceJourney:b136668d697836b4a256043ca496ccb2,1
NSR:Quay:5651,RUT:ServiceJourney:ca1b2c2267892d89b44ebcdc119aaeb3,NSR:Quay:5653,RUT:ServiceJourney:6522b1ae453cedf70f8e073e6cf87924,1
NSR:Quay:6816,RUT:ServiceJourney:62348d57e2b69df12a7f68471fac4fc9,NSR:Quay:6813,RUT:ServiceJourney:7fc1d8b67f8e0a9ea1ab410b4ab5d397,1
NSR:Quay:10098,RUT:ServiceJourney:f1fcb37e91245f5c2a8db52c062d29e6,NSR:Quay:10100,RUT:ServiceJourney:43426961967b1c54455f50556696b6d8,1
NSR:Quay:25812,RUT:ServiceJourney:62ab33fa36c6d0b16e3001d603813cc6,NSR:Quay:25812,RUT:ServiceJourney:433710c3e44112a37e46a45a20b85f99,1
NSR:Quay:7786,RUT:ServiceJourney:aee3d32238baa781aaa352166c730d66,NSR:Quay:7786,RUT:ServiceJourney:82ae7e86f95fea89c6a30bcb5d0ecf6f,1
NSR:Quay:10097,RUT:ServiceJourney:d234c365bc758bbd08705eb5575bde48,NSR:Quay:10102,RUT:ServiceJourney:e56a4a701db3e58986d69a6329604d8e,1
NSR:Quay:7786,RUT:ServiceJourney:9c65f22d820835c3540319ebe450138a,NSR:Quay:7786,RUT:ServiceJourney:3283533acc0f6a52c963aeb0822e370d,1
NSR:Quay:7786,RUT:ServiceJourney:f818e564b0e0074ec6033994db4260e1,NSR:Quay:7787,RUT:ServiceJourney:20fdcef68c9033d0d71ebdd0204a0591,1
NSR:Quay:10098,RUT:ServiceJourney:a3cc2e293f71b9086f841d1ca6e254eb,NSR:Quay:10100,RUT:ServiceJourney:496e434d804de7cd2ad8844f53687914,1
NSR:Quay:25813,RUT:ServiceJourney:1dd6d9a5e97baa07b36add42a80b4d31,NSR:Quay:25813,RUT:ServiceJourney:88c56317fa22a3af00398bddf29981cf,1
NSR:Quay:10100,RUT:ServiceJourney:938d8f207bc3fc78c182007a49d86e47,NSR:Quay:10102,RUT:ServiceJourney:02251a41cf5042406dfbe309bcdfe5ce,1
NSR:Quay:10226,RUT:ServiceJourney:ad5de2a33bc72026797117bceab85b1f,NSR:Quay:10221,RUT:ServiceJourney:ea893e124b073b59f8e406fde2e77fc0,1
NSR:Quay:6813,RUT:ServiceJourney:d9f3989648e7ff6e2ead5914e3560a9b,NSR:Quay:6816,RUT:ServiceJourney:611ee47c46059f5c8653abb0ad5cc8c5,1
NSR:Quay:6816,RUT:ServiceJourney:0dcc3fb9589b6d4d82ce5fd670784573,NSR:Quay:6812,RUT:ServiceJourney:a0a2acd1f167625e2fcab6f9a0658194,1
NSR:Quay:10660,RUT:ServiceJourney:eca9cb43fe78968322847838277a8347,NSR:Quay:10660,RUT:ServiceJourney:053af0384f4ea48a55bcb8aef3d10d54,1
NSR:Quay:10102,RUT:ServiceJourney:3aedc03f4684f0137945ae9fa1f96925,NSR:Quay:10097,RUT:ServiceJourney:be9511ae8de8bf5a663675f0df26695d,1
